Model,Original,VAE,Improvement,Improvement %
SVM,0.7878787878787878,0.8333333333333334,0.045454545454545525,5.769230769230779
Random Forest,0.803030303030303,0.8181818181818182,0.015151515151515249,1.8867924528302011
KNN,0.7575757575757576,0.7121212121212122,-0.045454545454545414,-5.999999999999995
